C1-Modification,C1_stereo_donor,C2-Modification,d_2_stereo,d_3_sub,d_4_sub,C4_stereo_donor,C6_Modification,RRV,C1_Modification-a,C1_stereo_acceptor,a_2_sub,C3_Modification_a,C4-Modification_a,C6-Modification_a,Alcohol_position,Alcohol_type,Aka,temperature,Solvent,Concentartion,Stoichiometery,promoter,a-ratio
x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,y1
STol,b,N3,equatorial,OBn,4_6_OCHPh,equatorial,4_6_OCHPh,5.6,-,-,-,-,-,-,1_OH,primary,100,-40,DCM,0.167M,01:01.5,TolSCl_AgOTf,0.05
STol,b,N3,equatorial,OBn,4_6_OCHPh,equatorial,4_6_OCHPh,5.6,-,-,-,-,-,-,1_OH,primary,100,-40,DCM,0.167M,01:01.5,NIS_TfOH,0.05
imidate,a,N3,equatorial,OBn,4_6_OCHPh,equatorial,4_6_OCHPh,5.6,-,-,-,-,-,-,1_OH,primary,100,-40,DCM,0.167M,01:01.5,TMSOTf,0.05
STol,b,N3,equatorial,OBn,4_6_OCHPh,equatorial,4_6_OCHPh,5.6,-,-,-,-,-,-,1_OH,primary,17,-40,DCM,0.167M,01:01.5,TolSCl_AgOTf,0
STol,b,N3,equatorial,OBn,4_6_OCHPh,equatorial,4_6_OCHPh,5.6,-,-,-,-,-,-,1_OH,primary,17,-40,DCM,0.167M,01:01.5,NIS_TfOH,0
STol,b,N3,equatorial,OBn,4_6_OCHPh,equatorial,4_6_OCHPh,5.6,OMe,a,OBn,OBn,OBn,OH,6_OH,primary,7.16,-40,DCM,0.167M,01:01.5,TolSCl_AgOTf,0.1
STol,b,N3,equatorial,OBn,4_6_OCHPh,equatorial,4_6_OCHPh,5.6,OMe,a,OBn,OBn,OBn,OH,6_OH,primary,7.16,-40,DCM,0.167M,01:01.5,NIS_TfOH,0.14
imidate,a,N3,equatorial,OBn,4_6_OCHPh,equatorial,4_6_OCHPh,5.6,OMe,a,OBn,OBn,OBn,OH,6_OH,primary,7.16,-40,DCM,0.167M,01:01.5,TMSOTf,0.13
STol,b,N3,equatorial,OBn,4_6_OCHPh,equatorial,4_6_OCHPh,5.6,OMe,a,OBn,OBn,OH,OBn,4_OH,secondary,3.51,-40,DCM,0.167M,01:01.5,TolSCl_AgOTf,0.15
STol,b,N3,equatorial,OBn,4_6_OCHPh,equatorial,4_6_OCHPh,5.6,OMe,a,OBn,OBn,OH,OBn,4_OH,secondary,3.51,-40,DCM,0.167M,01:01.5,NIS_TfOH,0.2
imidate,a,N3,equatorial,OBn,4_6_OCHPh,equatorial,4_6_OCHPh,5.6,OMe,a,OBn,OBn,OH,OBn,4_OH,secondary,3.51,-40,DCM,0.167M,01:01.5,TMSOTf,0.25
STol,b,N3,equatorial,OBn,4_6_OCHPh,equatorial,4_6_OCHPh,5.6,OMe,a,OBn,OH,4_6_OCHPh,4_6_OCHPh,3_OH,secondary,1.88,-40,DCM,0.167M,01:01.5,NIS_TfOH,0.25
imidate,a,N3,equatorial,OBn,4_6_OCHPh,equatorial,4_6_OCHPh,5.6,OMe,a,OBn,OH,4_6_OCHPh,4_6_OCHPh,3_OH,secondary,1.88,-40,DCM,0.167M,01:01.5,TMSOTf,0.45
STol,b,N3,equatorial,OBz,4_6_OCHPh,equatorial,4_6_OCHPh,18.6,-,-,-,-,-,-,1_OH,primary,100,-40,DCM,0.167M,01:01.5,NIS_TfOH,0.1
STol,b,N3,equatorial,OBz,4_6_OCHPh,equatorial,4_6_OCHPh,18.6,OMe,a,OBn,OBn,OBn,OH,6_OH,primary,7.16,-40,DCM,0.167M,01:01.5,TolSCl_AgOTf,0.1
STol,b,N3,equatorial,OBz,4_6_OCHPh,equatorial,4_6_OCHPh,18.6,OMe,a,OBn,OBn,OBn,OH,6_OH,primary,7.16,-40,DCM,0.167M,01:01.5,NIS_TfOH,0.2
STol,b,N3,equatorial,OBz,4_6_OCHPh,equatorial,4_6_OCHPh,18.6,OMe,a,OBn,OBn,OH,OBn,4_OH,secondary,3.51,-40,DCM,0.167M,01:01.5,TolSCl_AgOTf,0.14
STol,b,N3,equatorial,OBz,4_6_OCHPh,equatorial,4_6_OCHPh,18.6,OMe,a,OBn,OBn,OH,OBn,4_OH,secondary,3.51,-40,DCM,0.167M,01:01.5,NIS_TfOH,0.2
STol,b,N3,equatorial,OBz,4_6_OCHPh,equatorial,4_6_OCHPh,18.6,OMe,a,OBn,OH,4_6_OCHPh,4_6_OCHPh,3_OH,secondary,1.88,-40,DCM,0.167M,01:01.5,NIS_TfOH,0.29
STol,b,N3,equatorial,OBn,OBn,equatorial,OBn,270,-,-,-,-,-,-,1_OH,secondary,126,-40,DCM,0.167M,01:01.5,TolSCl_AgOTf,0
STol,b,N3,equatorial,OBn,OBn,equatorial,OBn,270,-,-,-,-,-,-,1_OH,secondary,126,-40,DCM,0.167M,01:01.5,NIS_TfOH,0
imidate,a,N3,equatorial,OBn,OBn,equatorial,OBn,270,-,-,-,-,-,-,1_OH,secondary,126,-40,DCM,0.167M,01:01.5,TMSOTf,0
STol,b,N3,equatorial,OBn,OBn,equatorial,OBn,270,-,-,-,-,-,-,1_OH,primary,100,-40,DCM,0.167M,01:01.5,TolSCl_AgOTf,0
STol,b,N3,equatorial,OBn,OBn,equatorial,OBn,270,-,-,-,-,-,-,1_OH,primary,100,-40,DCM,0.167M,01:01.5,NIS_TfOH,0
imidate,a,N3,equatorial,OBn,OBn,equatorial,OBn,270,-,-,-,-,-,-,1_OH,primary,100,-40,DCM,0.167M,01:01.5,TMSOTf,0
STol,b,N3,equatorial,OBn,OBn,equatorial,OBn,270,-,-,-,-,-,-,1_OH,tertiary,80,-40,DCM,0.167M,01:01.5,TolSCl_AgOTf,0
STol,b,N3,equatorial,OBn,OBn,equatorial,OBn,270,-,-,-,-,-,-,1_OH,tertiary,80,-40,DCM,0.167M,01:01.5,NIS_TfOH,0
imidate,a,N3,equatorial,OBn,OBn,equatorial,OBn,270,-,-,-,-,-,-,1_OH,tertiary,80,-40,DCM,0.167M,01:01.5,TMSOTf,0
STol,b,N3,equatorial,OBn,OBn,equatorial,OBn,270,-,-,-,-,-,-,1_OH,primary,14,-40,DCM,0.167M,01:01.5,TolSCl_AgOTf,0.1
STol,b,N3,equatorial,OBn,OBn,equatorial,OBn,270,-,-,-,-,-,-,1_OH,primary,14,-40,DCM,0.167M,01:01.5,NIS_TfOH,0.1
imidate,a,N3,equatorial,OBn,OBn,equatorial,OBn,270,-,-,-,-,-,-,1_OH,primary,14,-40,DCM,0.167M,01:01.5,TMSOTf,0
STol,b,N3,equatorial,OBn,OBn,equatorial,OBn,270,OMe,a,OBn,OBn,OBn,OH,6_OH,primary,7.16,-40,DCM,0.167M,01:01.5,TolSCl_AgOTf,0.1
STol,b,N3,equatorial,OBn,OBn,equatorial,OBn,270,OMe,a,OBn,OBn,OBn,OH,6_OH,primary,7.16,-40,DCM,0.167M,01:01.5,NIS_TfOH,0.2
imidate,a,N3,equatorial,OBn,OBn,equatorial,OBn,270,OMe,a,OBn,OBn,OBn,OH,6_OH,primary,7.16,-40,DCM,0.167M,01:01.5,TMSOTf,0
STol,b,N3,equatorial,OBn,OBn,equatorial,OBn,270,1_2_acetonide,a,1_2_acetonide,3_4_acetonide,3_4_acetonide,OH,6_OH,primary,6.53,-40,DCM,0.167M,01:01.5,TolSCl_AgOTf,0.09
imidate,a,N3,equatorial,OBn,OBn,equatorial,OBn,270,1_2_acetonide,a,1_2_acetonide,3_4_acetonide,3_4_acetonide,OH,6_OH,primary,6.53,-40,DCM,0.167M,01:01.5,TMSOTf,0.13
